"transaction hash","total hash gas used","relative gas used",gas
0xc852696eaf9fbcbdfd8e9796f5f8c804cb9991f71fba019b65465f632c0bcdda,72,0.0104953667328944,686017
0xd9abe47a7b4704ba49dd3104e40a69cc322891e4aef563fe9aec0738163c3da8,72,0.0104953667328944,686017
0xea9388ae62141a162f8af69f395d7176fdee08eada74d72f5b037683d10cf3ab,72,0.0104953667328944,686017
0xf1b8034711fa959731df5f9e7d0cc0f3f97cd171b88adc762790ac71d5828195,72,0.0104953667328944,686017
0x0d5c1454b29663b61675d3d2a2fc71af7449196d507b49851d6a1ed804d2724d,72,0.0106163999787672,678196
0x94824cb8cf4fd5652c8e8e1df4c2cca8e0f98ac2016389181d8bd4ad3060fe01,72,0.0106163999787672,678196
0xdef80f1b742769ca1503af4502ba5265071d1b0375fc59e41809ef8ef14758b9,72,0.0106163999787672,678196
0x48f1e19d9c9c882088daad7bd9bd52be2964357d5ffed55e8e8d46a0c54f4387,72,0.010619782294463,677980
0x442213bae902893a1a28eb362d726b9a0fc8f30694f4730bc1dc4f9a22f03f0c,72,0.0106358149250027,676958
0xbe503b2883d9b1b65116964c6f015cdd4b12206c14ffe341ff3ed917c0812e06,72,0.0106358149250027,676958
0x061d5df190bdf5ed7c17e78953d95c8576333ac85749aba4e610fd203a5a649d,42,0.0107987751103661,388933
0xaa4435e852580ecf4552e89fdc47ec0073cb2604287a5fdbce858eda324975e9,42,0.0110594418668338,379766
0x29c947dccbe11126a0cf46e8d70a0223d79be5b4c7d8c93b6c5cddc30bfed48c,42,0.0110601408324599,379742
0xab2792ca59943db1528e288c200948b6f3f45a5c28a2596c69a738c8371962a2,48,0.0111637772640373,429962
0xe02c96d19d838aabc2c4cc2d7cb85c5d892916cd018fe28e995798cd26584595,42,0.0111882448840418,375394
0xcce9358bd2c1768310d508bd88a98f935e4b4ffee7e2fcb479da08673184ec57,42,0.01133982763462,370376
0x070a0f98db9193f43cb071d976b7566fc29c83912e4339f746fd3d09b42c7a0b,42,0.0113676347200043,369470
0x61cec60e3fd21d970ec1486f43f108dca2e1f7dd2359eea3d60a4bdd9526e251,42,0.0115056514664227,365038
0x30f1842fe1ff069adc8bcf363cd3213b9a2021d0b01f7c012a8aa6483d7790c8,42,0.0115118009664431,364843
0x408e55510e71f5e9a49636eef97d2e846494ce64f803570496ca03b6f4c44416,42,0.0116007037760291,362047
0x2c80d394e3e2fed37e480bbdd2fd48d171ecfc62b3cc34b3df8f82a487198394,42,0.0116544941949519,360376
0x2eb3e0c26414a753d8dfc5f3e24a77e77f3d3714460e7327ecf674e429c25910,84,0.0116666666666667,720000
0xf3d1a81d40d384213c419228db25d59796c1b1ebba6ecbdb5cf211ba99396b58,600,0.0117837632312021,5091752
0x30eabc2d73b8361180a8c644408d463e9c4776e116b90140c5ce6e50f8b11f54,42,0.0118924245255772,353166
0x86ffe675a71f981edde665d454ca7845078737d66059797fda1db2a971eaf580,42,0.011940671918667,351739
0x2afac70ca57330a6a5991029723824e5ccc838058990a6dcc095b283c778967c,42,0.0120423201536829,348770
0xac1d92713d0512e27242fbe2ac74fa4db0b2bf1cabf94232192ff52248ca68ce,42,0.0121472243592339,345758
0x9d659e7e45f8fcc064052affb9a508167c3e48a7b4bbf2d74bd81dd26bc9ed39,42,0.0121947678638832,344410
0x64b9cac66640e345a07ba1afc185fd530f14b84b5fe7e23b8a673bcea0e99159,42,0.0122473974280465,342930
0x4ec89b3255ae270a79fdaecc7efaba9fd35020804002f9405e17699e1cbfff6e,42,0.0123524325468951,340014
0x4a507718afda5497611a0d2b85e9e972c8def02d6c88ee50b8868cdadbe3fdaf,42,0.012392707186885,338909
0x9bdf21d83c3497f5ed9f706ae414e893d930fe052b7c92dfeb201b1fbdc81c92,42,0.0124046759721426,338582
0x37c6f6c4fed8a8dd349632c7f5473c12ca290f93f949fca2b452d33baf55ec6b,42,0.0124086340457465,338474
0xa137d2ea2869436c4e9f4ec1e43e391ade375dfcc881a0c9716337175316d3e7,42,0.0124686798636758,336844
0x6d84e046081749bd73a4f93215769a8b0451515737b26435efa335f84e0b0aaf,42,0.0125705597490677,334114
0x45f204b680121a3d2711e53880578e1ac605074c796e39c136c3f741ba61e494,42,0.0127325972679484,329862
0xcec81c37f40a997f6bf4869aff26ef24d5a2cd9685b81482af98f7701b48e69a,42,0.012735840474501,329778
0x2ef4c28719305df1d4775e27b9e014b93d96000585c4769f573c42479da3139c,42,0.0127367674084317,329754
0x3deed2f16a4366f7aed176ad818ea4e29bba979d9b336b33a0e5b4ca2c84b508,42,0.0127367674084317,329754
0x294727a5c9f67fbed64787d5caba593d9c55da0db8e1f11b3435c9130346a21f,72,0.0128433820906172,560600
0x38c1a8aae3e2c6b09936397109108c1b208741252da6ca28c2e18beca226e934,72,0.0128433820906172,560600
0x661cbe18e4853d1a956cba3f6d6d4fc12ee3b232966a6da41a8cd2ddecd647d5,72,0.0128433820906172,560600
0x78d0fa55a3f08296a01ee5a8d2524f3349bc22e75b2204d8ebf930dd9121bb63,72,0.0128433820906172,560600
0x9b0c46c8b76f97f104d1287726a9ffffdca2b8c241b526218d01c22f72729427,72,0.0128433820906172,560600
0x9d216cd57097df1d6ebf01b7f8e17eb45d2902f1ffb4c780e692683f96a41e9e,72,0.0128433820906172,560600
0x9d8f6affed0d971cb7269ad2296157bba2b55f82b7cb42b0e4f3df79df3c81e9,72,0.0128433820906172,560600
0x69a0012b6fdb5838863b6861dc82b91e9b6cab33df56024a7d359caa6edfe2af,72,0.0128436570172747,560588
0x020a57c668a8e2b9c583784608f155a14604e64791739bb5e69c1154503a3c1e,72,0.0128527362047298,560192
0xd0a0ee47bbf8ceae4a8d8d338307f43a0ddf473e897d35e17861a2bcbafc19ec,42,0.0128552408062072,326715
0xa4af911c3d4e04024e56ec617c2c495f09f433ed328ae6fb7fb9d4a7ff9b70ab,42,0.0129088573202442,325358
0x66c3f9d4cfd63cdc45ad4e2ead77066509d80f15a447206989c0dfa57935f8b0,42,0.0131313194474841,319846
0x99934e96200d714028748ad2db278d558b39a5dea0c1a4f55e20a1a3256bab93,42,0.0131963841907317,318269
0x12d0c514d23b8c6777f9406b37cb99c5730c97729b9012ffcaf2296e8cc96850,42,0.0132343071052474,317357
0xd36dc938c41316d74904df809ae87b455855b79c9b3a6aa0a597e78f816e5fb3,42,0.0133791622733108,313921
0xf17df479316d15c616255d2ddc7fa6b1367ddbbb2e341a09210e1dd96b1ec068,42,0.0133967018595898,313510
0x523a43773b3e5c59e4bd5c17d6f97ada018ded3e108a3c79031e16836ea9c9bc,42,0.0133972146552769,313498
0xeff735321b30dc252847c0a10e2e51c7f2d61d94d9ca65c44f0fd4c78a4276b3,42,0.0133987532779093,313462
0x893eb6d2cedca636a51c8a30c7c7be4a11a7d2b4bf6674380a6df9ab8d969275,42,0.0134798139785671,311577
0x9200badcd69e6d069da93279514d3e09e7d0e0ebd7179105047ab6d44a7819c1,42,0.0136557832241954,307562
0xec69b207a263bc09f0d9df7f799a85ac05ea18afd92850fab7359e743bef20a1,42,0.0137805222161705,304778
0xaacb4e90f800f71fe22d3c8a234d1186ee07e073b407fe91f3ec740a320d24e4,156,0.0138017188448315,1130294
0x9c8d80131a271f76b08b59382678f80bc998b51bf9c0463c0d9bfdabc8705af2,42,0.0138510549886883,303226
0xa5c5c1d33dfc2b87338a3790bc0172b0003ab71ba47a1411ed7e253749933621,42,0.0140542494026944,298842
0xd3387f979ddfb6f0bd6b54ff2cdbd5ca6dc25b5f7e150a78f21acd7f7df4529e,42,0.0140542494026944,298842
0x077aaab770611d4cb07584f42dc7633d4c28a3ddd5c2496255fb49a31f0edf1b,42,0.0140548137737175,298830
0x93e5593788766debe1c3477c288d44971e0f3ce662b0fe61dd6683e3d02531b1,42,0.0141304713521515,297230
0x98fe360c1d692e9516f78aca3adc2f05e4a59e20883c7d722cbc29943bed8447,42,0.0142104087860927,295558
0xa72bb875e8e3751a30d664f37839608c420fe57db16bc75a07a9a0f4509637da,42,0.0144390928124259,290877
0xe8c6841524b970abb0e98d0d25e422c37218cd9edc50a2ffa567f6c33d22cc97,42,0.0145563434465262,288534
0x20fb6c035e01738a8d309f2c3f4a72ecc818d5c7f7f660555c01bbdce35a8791,126,0.0146876599177258,857863
0x15e1f91f717e384800419bd5005bfb6719f0e7bfc7f27563bc70b9a49ab3a960,42,0.0147827984541416,284114
0xd133db89e8e39f10f6d9d9cfe1780c3440a0fcae5f278d42fc04913bb22603f2,42,0.0148614698701391,282610
0x89b5355b49fc2275d17647aebd7c76a5519fd3245eb4653ba81e3c3c9a14f09c,42,0.014862732053251,282586
0x23761226710242753f64f33c19380c038435e88df6b843999b6f0d8d9caf1029,42,0.0148658884492047,282526
0x44c2d46d645664329770b30be47c3b7f805e0efba59af8e33226baf26c5d86ad,696,0.0150541723092776,4623303
0xb6c6c475ef3130c45f23d51f962b2bdf5742122eb486cec1c641f8d395f31569,42,0.0150949906195415,278238
0x82dea168c0efec73164c465a3056bcba4b46aa5a1cbcdbc1297c9e147cc3d8d1,42,0.0151002006169511,278142
0x156c3e4815fa8187bf1b11aaadd1b1e5f46a029b87da7529ff37ed96c3a90a98,42,0.0151008521195125,278130
0xcc38b532a377f3bff5af48590960ef01eafa7e03e1cefddfcab1245bf9853183,42,0.015188884629572,276518
0x1e21e347d3cde05c2de3b66e31e29c070e0ec7dd885749e4522261cf623a71e4,42,0.0152345025209474,275690
0x140f11878af61b072cd60db662f179a6ff3dedbd6366ce2471cedd6febc36a26,42,0.0153359672248472,273866
0x2ed0319c076f43e2dd0edd6336c059803af44e280e247d27a80fcb607fe9e3b2,42,0.0153379834203703,273830
